#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Apr 01 14:01:39 EDT 2017,61,61,Assignment4Suite,ContainsTest0+ ContainsTest2+ EmptyTest0+ EmptyTest2+ FindMinMaxTest0+ FindMinMaxTest1+ FindMinMaxTest2+ HeightTest+ InsertAfterRemoveTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ RemoveTest7+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ContainsTest1- EmptyTest1- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest5- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- , ,
11,Sat Apr 01 18:41:40 EDT 2017,29,-3,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 SizeTest3- , ,
12,Sat Apr 01 18:42:59 EDT 2017,12,-17,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 SizeTest0 , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest0- FindMinMaxTest1 FindMinMaxTest2- HeightTest InsertAfterRemoveTest0- InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0- RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7- SizeTest1 SizeTest2 SizeTest3 , ,
13,Sat Apr 01 18:43:27 EDT 2017,93,81,Assignment4Suite,ContainsTest0+ ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2+ FindMinMaxTest0+ FindMinMaxTest1+ FindMinMaxTest2+ HeightTest+ InsertAfterRemoveTest0+ InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest5+ RemoveTest7+ SizeTest0 SizeTest1+ SizeTest2+ SizeTest3+ , ,InsertTest5 RemoveTest6 , ,
14,Sat Apr 01 18:47:09 EDT 2017,12,-81,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 SizeTest0 , ,ContainsTest0- ContainsTest1- EmptyTest2- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- InsertTest3- InsertTest4- InsertTest5 RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6 RemoveTest7- SizeTest1- SizeTest2- SizeTest3- , ,
15,Sat Apr 01 18:47:47 EDT 2017,29,17,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0+ FindMinMaxTest2+ InsertAfterRemoveTest0+ RemoveTest0+ RemoveTest7+ SizeTest0 , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 SizeTest3 , ,
16,Sat Apr 01 18:52:20 EDT 2017,32,3,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest3+ , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
17,Sat Apr 01 18:55:12 EDT 2017,32,0,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
18,Sat Apr 01 18:58:51 EDT 2017,29,-3,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest0 RemoveTest7 SizeTest0 , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 SizeTest3- , ,
19,Sat Apr 01 19:02:56 EDT 2017,32,3,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest2 InsertAfterRemoveTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest3+ , ,ContainsTest0 ContainsTest1 EmptyTest2 FindMinMaxTest1 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
20,Sat Apr 01 19:03:52 EDT 2017,74,42,Assignment4Suite,ContainsTest0+ ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1+ FindMinMaxTest2 HeightTest+ InsertAfterRemoveTest0 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ InsertTest5+ RemoveTest0 RemoveTest1+ RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest7 SizeTest0 SizeTest3 , ,ContainsTest1 EmptyTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest5 RemoveTest6 SizeTest1 SizeTest2 , ,
21,Sat Apr 01 19:05:18 EDT 2017,93,19,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2+ FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5+ RemoveTest7 SizeTest0 SizeTest1+ SizeTest2+ SizeTest3 , ,InsertTest5- RemoveTest6 , ,
22,Sat Apr 01 20:39:49 EDT 2017,93,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,InsertTest5 RemoveTest6 , ,
23,Sat Apr 01 20:58:44 EDT 2017,93,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5+ RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 , ,RemoveTest6 SizeTest3- , ,
24,Sat Apr 01 21:01:48 EDT 2017,96,3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3+ , ,RemoveTest6 , ,
25,Sat Apr 01 21:05:28 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
26,Sat Apr 01 21:07:39 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
27,Sat Apr 01 21:15:07 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
28,Sat Apr 01 21:18:41 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
29,Sat Apr 01 21:20:32 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
30,Sat Apr 01 21:22:25 EDT 2017,64,-32,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest1- EmptyTest1- InsertAfterRemoveTest1- InsertAfterRemoveTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6 , ,
31,Sat Apr 01 21:22:44 EDT 2017,96,32,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest1+ EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest5+ RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
32,Sat Apr 01 21:30:01 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
33,Sat Apr 01 21:45:00 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
34,Sat Apr 01 21:55:42 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
35,Sat Apr 01 21:57:17 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
36,Sat Apr 01 21:57:36 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
37,Sat Apr 01 22:00:05 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
38,Sat Apr 01 22:00:55 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
39,Sat Apr 01 22:06:58 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
40,Sat Apr 01 22:08:51 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
41,Sat Apr 01 22:28:06 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
42,Sat Apr 01 22:28:39 EDT 2017,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest6 , ,
43,Sat Apr 01 22:31:23 EDT 2017,77,-19,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest1- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6 , ,
